ID_Cliente,Idade,Salario_anual,Tipo_Propriedade,Tempo_empresa,Proposito_Emprestimo,Pontuacao_emprestimo,Valor_emprestimo,Taxa_juros,Possibilidade_inadimplência,Percentual_Renda_Emprestimo,Historico_inadimplencia,Tempo_primeiro_credito,ID_historico,Codigo_emprestimo
XXsN9Khv-LEvM,22,42000,Rent,6,Medical,B,15000,9.63,1,0.3571,N,3,gK2vBlNn-RFlx,ja34AP4G-LRSA
raev2AcX-iv3N,22,30000,Rent,6,Medical,B,7000,9.62,1,0.2333,N,4,igWoA6uF-IJOj,QO3TTpS6-GWGC
AtNusT4q-nac2,22,65004,Mortgage,6,Medical,A,5500,6.03,0,0.0846,N,2,4iwk4ANU-blUX,dwb3MpRt-oRYM
11dWEHkz-p99O,22,38000,Rent,5,Personal,A,7500,5.79,0,0.1974,N,4,svgeqUCG-fa5S,LvISIRK0-kkX2
68pjrbfb-03Sp,22,23000,Rent,4,Medical,A,3000,5.79,0,0.1304,N,2,n0R8uHAc-SSOd,opPKn0bs-ouIf
bRsDzuj0-qY45,22,24000,Rent,2,Homeimprovement,B,6000,12.18,1,0.2500,N,3,6tiW4Qn8-eaCC,g2BmkHTY-H0Io
greHTDIA-J4Em,22,63211,Rent,7,Debtconsolidation,B,6500,11.86,0,0.1028,N,2,FX1BoRTI-SYOG,ICRbBJ04-OdDc
D6I1lyQc-Eugq,22,130000,Mortgage,6,Personal,C,3000,13.49,0,0.0231,N,2,g3Dmh60Z-FNIz,MmFeuh7U-18mz
kGkO47Jx-5cYl,22,15000,Rent,3,Education,B,3000,9.91,1,0.2000,N,3,AhhD4lnu-ZU73,YHn5y5k0-xjW1
PdEyueqc-XcAa,22,48000,Mortgage,1,Personal,B,4000,9.63,0,0.0833,N,2,Q0YjXveL-pUdI,z4fTkukQ-vGU6
TOFrsAtE-CJx2,22,89250,Mortgage,3,Medical,B,25000,12.53,1,0.2801,N,4,a7G7hZAy-b85q,RckvyQQt-Y1vY
94Uj9uXb-7aya,22,120000,Mortgage,3,Medical,A,22000,7.49,0,0.1833,N,3,Dk1lZyuI-Ioft,WlUEJ99d-pFGd
Fm4TMXnq-M6vX,22,34000,Mortgage,6,Education,A,5000,9.63,0,0.1471,N,3,d2brkacn-RjKq,PzvI7KSf-r1nE
l3I9kOhC-Bj46,22,68000,Mortgage,6,Education,A,11000,6.99,0,0.1618,N,4,YbBAweiO-uZdI,cIgXAM5I-rqnZ
57e1Kyy1-1DGS,22,105500,Rent,6,Education,B,6000,11.99,0,0.0569,N,4,dP9Sw2IQ-TCgf,TtmKTabA-Jlx8
hA1f4NLw-5lQI,22,55000,Own,4,Personal,A,2000,7.4,0,0.0364,N,3,K5GEqOLh-N8MY,EwEznMDy-9gdi
it5PG1PA-bURM,22,30000,Own,3,Medical,B,7200,10.99,0,0.2400,N,2,4NlQOI4B-Z80R,FeRjlDtN-Mduq
mQWsK2Tc-d2j4,22,87000,Rent,6,Personal,B,15000,10.62,0,0.1724,N,2,pCppQWq6-7WER,LzSM5RC0-LupO
sQ6zyktU-tvU0,22,54500,Mortgage,6,Education,B,7500,10.59,0,0.1376,N,3,QMPD1RW6-y0tw,S54HMdhR-kLBs
HAHvdY6v-3qYP,22,93218,Mortgage,5,Medical,B,12000,11.49,0,0.1287,N,3,ApRB9m5I-SHOd,TuWepk1u-UDMm
MpyA1QRj-U6fJ,22,78000,Mortgage,6,Debtconsolidation,A,15000,7.88,0,0.1923,N,3,wRdujOmj-zriC,gk4HgkpC-v7Wd
hLz4gmnl-h8yn,22,60000,Mortgage,5,Venture,B,20000,12.21,0,0.3333,N,3,Y9S165a6-FKhn,AbB1owte-b5q5
J0FzZB2i-DoDp,22,25062,Own,4,Debtconsolidation,D,4000,16.49,0,0.1596,Y,2,E6QSarTG-rP0Z,7vy7WIb3-EXdJ
PpHlkMHL-1RqP,22,17720,Rent,6,Homeimprovement,B,5000,9.62,1,0.2822,N,4,kfRHEjEk-veme,Iz4eaj27-xk0L
dYbyZmxh-fwKJ,22,60000,Rent,3,Personal,C,5000,14.22,0,0.0833,N,4,FGaLPLGk-Z9qE,p5f3SbN7-DsnB
BDbBAOen-8Loq,22,29000,Rent,4,Venture,A,1000,7.29,0,0.0345,N,4,cTzo0e3z-Gl3N,hnYuemXn-QZsS
Q4rC3Eml-b8Bh,22,100000,Rent,2,Education,C,8450,12.99,0,0.0845,Y,2,75hvh7DM-0Uwo,SuQePsgZ-J1mX
QCdqR1tt-Xfvx,22,39860,Rent,6,Personal,B,8000,11.11,0,0.2007,N,3,JZKpZrkM-Ingd,3SRCLXtX-9Fjt
2deqBlvq-3Lts,22,57500,Rent,1,Debtconsolidation,B,9100,11.49,0,0.1583,N,4,4X45OJPq-W3fT,JbYvh7pO-ysiE
Eo4ms06J-pihZ,22,42000,Rent,6,Personal,B,3000,11.49,0,0.0714,N,2,vGvgqaNO-mGM0,ygoSEg7W-Pgu0
BXwzbEUc-zpGd,22,44000,Rent,3,Homeimprovement,C,3600,13.43,1,0.0818,Y,3,QSwroCqS-Lkx3,7mafRzHg-iigI
gsQg5UxB-v95S,22,30000,Rent,3,Venture,B,8000,12.53,0,0.2667,N,2,obAHzHB5-rjiG,DngchrtS-8qCk
nGzc8wlN-4yxW,22,35000,Own,1,Education,B,8000,12.69,0,0.2286,N,4,MjqhulL7-Mn60,XPmZUet5-LGoq
0IYfXjyz-S3v1,22,38000,Mortgage,4,Medical,A,1950,7.37,0,0.0513,N,3,KfXQcrA7-HUoW,PcooF6pt-ZzDT
ZMwwnUeR-e1Zi,22,50000,Rent,4,Medical,A,12500,7.29,0,0.2500,N,2,FW1bBlLJ-WBpG,oT6pmswf-HlFW
fyCJRBax-IKfW,22,54000,Mortgage,4,Education,D,5000,15.62,0,0.0926,N,2,oSvdSH4n-cB9A,xYaOMGzw-aLCO
wrOGGFfq-ThKb,22,62000,Mortgage,6,Education,A,17000,6.91,0,0.2742,N,3,CTqlUWEk-ojGw,Fs7CGKHm-90Gp
J7ms3ivK-NKHa,22,48000,Rent,7,Personal,A,8800,6.62,0,0.1833,N,4,fuZYEeKO-Cnif,QRyvln95-0sMo
Pur9t7xU-Gx0v,22,108803,Mortgage,6,Medical,C,10000,12.23,1,0.0919,N,4,Dwr5Q2R9-Awvl,g1WUesfG-k9ss
nNgAp9Fh-agOL,22,47000,Mortgage,3,Medical,A,15000,7.66,0,0.3191,N,2,jp7AtpTR-P0vZ,7wZUfLLH-vZNn
nAwaSZXm-4xm8,22,38000,Mortgage,4,Medical,A,18000,8.9,0,0.4737,N,2,TXEdzlRT-4jHP,rNKoKmzj-XMCu
GGPR0Bzj-oUti,22,105000,Mortgage,6,Personal,C,6000,14.22,0,0.0571,Y,3,qA5dxg1a-dSfa,7AcljUPS-UO3Z
ZzT6MWGq-NTp5,22,57860,Mortgage,1,Education,C,20000,11.41,0,0.3457,N,3,y1DRlGPY-05J3,noXdFASt-xYmY
XkE7t3K9-Ucvv,22,70000,Mortgage,6,Debtconsolidation,A,8400,6.99,0,0.1200,N,4,lJImiSOa-bSBw,NtJxLMEn-j5Ek
b5GkFS9H-jhzC,22,84000,Mortgage,6,Debtconsolidation,A,7500,8.63,0,0.0893,N,2,JWqaz18U-tNSd,dd8O1Oim-ezJg
LEowmvmZ-7lON,22,59000,Rent,2,Debtconsolidation,B,11000,10.74,0,0.1864,N,3,yZ9Ge4RD-Xgi2,va6kp56W-cONY
Ax5gqtGi-YidP,22,51000,Rent,6,Debtconsolidation,B,15000,11.11,0,0.2941,N,4,os67XCrI-HPlB,r5TYgmQ5-Bxzn
lN1DmIPZ-psBe,22,62000,Mortgage,2,Debtconsolidation,C,13000,15.27,0,0.2097,Y,2,7lOErbmW-rf9A,fv3rs3yo-3gW2
Ly4q4Hua-so1D,22,82000,Mortgage,3,Personal,B,8300,11.46,0,0.1012,N,3,f9GgxCYe-5vtp,lkNLDdKJ-mu86
IpnbAFUE-CNUm,22,72000,Rent,6,Medical,C,12000,12.99,0,0.1667,Y,3,sSvXBxDc-bzZt,zM8uJ5eo-2rs4
k3bgYtng-xgjj,22,83000,Rent,4,Education,A,3000,9.63,0,0.0361,N,3,N3wwnDlg-4GPq,d99qWMzq-FeP4
4wRtwAOD-fdNb,22,27000,Rent,3,Medical,A,2800,7.51,1,0.1037,N,3,tML5tppy-RyL8,p3xDLa1M-ZX8p
DfBBYN9T-7dQa,22,113000,Mortgage,6,Education,B,25000,12.53,0,0.2212,N,4,kRjX4H3L-cEqQ,EUGpfL3b-X8fj
wBIlOptl-jfvn,22,44582,Rent,6,Homeimprovement,A,4000,5.99,1,0.0897,N,4,GmrY0YvB-GNOA,4qWQT7R6-qzXP
sSXA2sDo-39i0,22,38423,Mortgage,6,Education,A,2000,8.49,0,0.0521,N,3,0gBg3hxq-DTFA,APnhd5kC-JT4d
ZmrSRhAD-8bJX,22,24000,Rent,1,Personal,C,15000,12.73,1,0.6250,Y,4,av5l7RKP-SJar,W9jjtK9v-7K4W
bLi18O5K-31eI,22,55000,Own,6,Education,B,25000,10.74,0,0.4545,N,2,dDoO2g97-yxWH,HpY5JrYs-x2bv
0Yb2haeZ-xtNg,22,62400,Rent,2,Venture,B,5000,12.69,0,0.0801,N,3,HkwKNCO7-Krf5,Qeq6YuI3-4dZ7
93uglXgH-EFXP,22,50000,Own,4,Personal,B,5000,12.62,0,0.1000,N,3,0o0E08wW-kWoS,tfJ1R6GD-vnyI
tFtQjsFJ-LxKU,22,34000,Mortgage,6,Medical,B,4500,11.71,1,0.1324,N,2,j7mjszRA-DnUX,h6xXWfv8-DjQj
QbUU8sMx-xQi4,22,70404,Mortgage,5,Education,D,14075,14.74,0,0.1999,Y,4,b16znENH-JJAC,DNbevKjO-0RLf
0PvaIKbq-QeBj,22,45000,Mortgage,6,Personal,A,5000,6.99,0,0.1111,N,3,HgS5n36D-xjcL,P9cU7TJ6-GMKS
TDjdOkCT-fufm,22,33000,Rent,6,Personal,C,6000,13.85,0,0.1818,N,4,Y23iHJ58-Ux9s,B11gMgi6-2a9Z
Kka4fsF8-DQMH,22,48000,Mortgage,2,Education,C,7000,13.48,0,0.1458,N,3,7fR01Rkb-o0kD,Qj93Wmlh-vp9c
A7yo917y-bGWr,22,155000,Mortgage,7,Debtconsolidation,B,4000,11.14,0,0.0258,N,3,dZE5IpGN-vwlv,fsmtYgDb-0YGD
KhgXapUj-nxIN,22,51996,Mortgage,6,Personal,A,6000,7.88,0,0.1154,N,4,qL6ybXzN-ySst,8r3UfTxk-YRz2
mbRJZuq2-SBiI,22,37900,Rent,2,Medical,B,5000,12.18,1,0.1319,N,2,nQW3g5qi-dt9f,k8i5WZh2-R5fw
XhdFe9as-5wy7,22,39000,Rent,5,Debtconsolidation,B,13000,11.83,1,0.3333,N,4,7QM1t3Iu-129J,98NvNDM0-yENA
3HjT4Qmn-t3zX,22,51600,Mortgage,6,Education,B,4200,10.59,0,0.0814,N,3,NmiR9M6v-L9vh,qOZ4ij5i-JstT
5EK5G34w-GMlO,22,80000,Rent,3,Venture,E,8000,18.39,0,0.1000,Y,3,hsACMcoS-rLwl,xdkU5stS-BeEr
l42UMSff-lncq,22,38000,Mortgage,6,Debtconsolidation,A,4500,5.79,0,0.1184,N,3,8Lbc94gZ-eQpw,nyQn75sk-b0B3
g3vaf1AJ-b8XQ,22,28800,Rent,6,Medical,B,8000,11.49,0,0.2778,N,2,arMwxcAh-FxDJ,sKjbrTLA-7ek4
USygHJGI-Y6gv,22,102000,Own,1,Medical,C,7000,12.87,0,0.0686,N,3,o8ogF3PH-w63N,kDMYCEYv-2qeW
snl9Tcw5-vkzP,22,42500,Mortgage,6,Medical,E,7000,15.57,1,0.1647,Y,4,rlkBxxWf-JT3I,Pujnaq2p-YEpn
rmB4ztrf-Oqjp,22,60500,Rent,3,Debtconsolidation,C,7000,12.84,0,0.1157,N,2,agTIomnK-Q3xs,4tLRJKpw-Mm0k
DHFQCaZ6-efIB,22,41000,Mortgage,6,Homeimprovement,A,7000,7.9,1,0.1707,N,2,3lC5fUi0-vSJ6,8KwoXehU-8ihO
bIIEFC6P-kzO7,22,54000,Mortgage,5,Medical,B,7000,10.65,0,0.1296,N,2,0l4E1dd5-rPa1,wz1bciBS-piE5
PQxIhmC1-3Pxk,22,50000,Mortgage,5,Venture,B,10000,10.36,0,0.2000,N,3,YZggPRv6-EDsd,SI0ZSs24-cUZW
4STYZukN-xoSs,22,46976,Own,5,Personal,C,11000,14.26,0,0.2342,Y,2,gSRUp30h-lscI,OcktCp5g-jFwt
PZEAOfm3-IYSL,22,66000,Own,1,Venture,C,15000,14.79,0,0.2273,Y,3,sMfHn5B2-yu9h,hWwRqq5j-z2PN
jsBWglld-KwlX,22,22500,Rent,2,Debtconsolidation,B,7000,10.38,1,0.3111,N,3,LX6BAtUY-iBDT,R6XPv4t6-kEtJ
dCz8lrmN-Q48x,22,72644,Mortgage,3,Personal,A,5900,7.49,1,0.0812,N,3,b2Eiupkr-LBXh,pBz8kJ69-0WL4
rzNq6tdO-JZ1t,22,45336,Rent,6,Venture,D,1800,15.21,0,0.0397,N,3,9dzh9iZ2-ywg9,A1qHasL2-1Py6
fO7CCJx1-9LI9,22,30000,Rent,2,Education,A,2500,8.49,1,0.0833,N,2,EyzkYkCA-Hghl,ZvP3TFDn-FfHu
28jQM8it-Qdp8,22,28500,Rent,3,Venture,C,3825,15.96,1,0.1342,N,3,RHsIrg1k-maG6,sa087vuD-uI7o
vaAi7xat-ASfl,22,66000,Rent,4,Education,B,6000,9.99,0,0.0909,N,4,4u0xhNg3-HDTZ,F0Xxp18x-J5as
xKjU7v8I-A9TB,22,34000,Rent,2,Homeimprovement,C,2500,13.57,1,0.0735,Y,3,zSB0RQ7i-P8sq,KEx7Uyxe-svRz
YUBW1l1Z-CJlc,22,88200,Mortgage,6,Debtconsolidation,A,21000,6.17,0,0.2381,N,2,t1OeeRmK-C0cN,tCU0Nzur-aMzy
03dxIafi-8oix,22,90000,Mortgage,6,Medical,B,6000,9.25,0,0.0667,N,2,fg8vminY-K1qA,PhEHSYZJ-ohhy
xPuDStiN-r0yZ,22,70000,Mortgage,5,Debtconsolidation,B,21000,8.88,0,0.3000,N,3,5aQE3Joy-JRg3,CRvDXUrR-Dy1Z
Rg3NftRa-AQcu,22,62000,Mortgage,5,Medical,B,3000,8.7,0,0.0484,N,3,JF3FjoQH-IvJz,9ESoPATv-TkIU
6HTnxCte-CSFv,22,45000,Rent,3,Personal,B,3000,11.99,0,0.0667,N,4,2M4WIE5G-Sof8,vefLKrIM-AbH1
HpsTPQ29-7QLN,22,39996,Mortgage,7,Medical,B,6000,12.42,0,0.1500,N,4,56XUdtdw-LsvQ,jHt6B6vK-K5QR
vBeJP7TD-XKwE,22,53004,Mortgage,6,Education,C,1500,13.79,0,0.0283,N,2,pz7t6EA4-9jaR,XXa2NoIe-N1yf
PffkLet1-U4Cc,22,54996,Mortgage,3,Education,B,5000,10.75,0,0.0909,N,3,SWKTZyU6-Sr6Y,6eFaXMed-TY8z
loSf3HRa-8kGh,22,100000,Mortgage,3,Venture,B,12000,11.11,0,0.1200,N,3,48N6P4pN-zxkd,4JbMJ9bt-K6PZ
OMn8IjC0-fAL0,22,70000,Rent,2,Debtconsolidation,B,18750,10.38,0,0.2679,N,2,Jm5FUO9G-2bbF,jHHZF4vl-n5qe
atsvmmHm-Y0QH,22,36000,Rent,3,Venture,C,15000,13.85,1,0.4167,N,3,Gz48yRxN-qYFQ,tk6ilkkM-2roX
kcz1Q0BI-BHYC,22,34819,Rent,2,Personal,B,16800,10.99,1,0.4825,N,4,84p1dIlA-BbrB,qp1Z7I1F-lCLF
7tXpj7We-G8bO,22,49000,Mortgage,2,Venture,B,8500,12.53,0,0.1735,N,3,doZZq78z-a6BP,PiBHDDMz-N3F8
UBrAzJFT-kXyD,22,45900,Mortgage,1,Debtconsolidation,A,6400,8.59,0,0.1394,N,3,wYepwaNb-WtJp,g55ovoy0-09ph
zl3JiX3r-sEUw,22,102000,Mortgage,3,Medical,A,18000,8.49,0,0.1765,N,3,hZJ8ewgy-KKcm,L0oEdmTr-tcz7
tG8SS5Mm-UwrJ,22,53500,Rent,2,Education,B,10000,9.99,0,0.1869,N,3,8xcgc18d-Kn01,v0h45JPk-a2LD
NhzpUd56-Q0a3,22,52000,Mortgage,5,Venture,A,6000,7.9,0,0.1154,N,2,QQebbKJJ-EEY7,xWJj6Hcz-5drE
s790xfMT-9jqt,22,30000,Rent,6,Medical,A,8000,5.42,0,0.2667,N,4,T9Zuq9pv-RNfv,B8oraff1-e5Ai
v3jukboo-blYi,22,20000,Rent,2,Education,B,4000,9.45,0,0.2000,N,4,1gmq9AHo-wuZY,peN7ICZS-u1R6
PoU2bIUL-jwmD,22,60000,Own,6,Medical,B,1000,10.99,0,0.0167,N,2,5n83YBga-y1j8,x7L2GFpI-ct3C
9rOwdewg-dscR,22,22292,Rent,5,Debtconsolidation,D,3500,16.49,1,0.1570,N,3,J3Hcv8DE-ZaPY,tAECKApG-BwoQ
rt26pqMu-wASy,22,44500,Mortgage,3,Personal,C,15000,13.57,0,0.3371,Y,4,0ZiakiBe-mRHJ,D1fgqjKs-35Gl
LOSgSEKB-87de,22,39500,Rent,3,Debtconsolidation,C,11000,12.68,0,0.2785,Y,2,GLdwhstM-DfGS,mZqh1Rln-ICkJ
tPCst3l8-EC6U,22,50361,Rent,6,Education,C,12000,12.73,0,0.2383,N,4,shEd7xJZ-3anv,YTIjhi2c-4X63
4XuYZ0Bn-sQfQ,22,32004,Mortgage,6,Education,A,10000,7.51,0,0.3125,N,2,B2ASUSDI-7sD0,nOjIgi8v-6s5U
lW4dJEFX-Dbf9,22,42000,Rent,2,Education,C,7000,14.27,0,0.1667,N,2,l4gcW0dT-Z7ba,zzvA0JvA-qTDD
CtuaRMxl-JEPd,22,90888,Mortgage,5,Education,C,13200,14.79,0,0.1452,N,4,eFA9boIX-xFlU,ThloqQDx-nQEL
jcqEz21X-Ptsh,22,71400,Mortgage,2,Medical,D,15000,14.96,1,0.2101,Y,3,FDRTnRLm-dEeO,homcQcOD-D3At
lpguTEip-bZXP,22,40000,Rent,2,Education,B,7000,11.99,0,0.1750,N,4,AZwdbPdh-E4sx,rhqiEy8n-q0jn
RUjG0s7T-JdqM,22,78000,Own,6,Personal,A,4000,7.74,0,0.0513,N,4,XJlSz0n6-91C5,MSs4Rxbi-eKO7
vxqgtc6a-41XW,22,60000,Mortgage,6,Education,C,2000,12.61,0,0.0333,Y,2,jyqjHchU-tZNq,xqwMoUsw-tAcv
ujtFmKe5-WAXF,22,75000,Rent,6,Education,B,24000,12.69,1,0.3200,N,4,ssuAX2u3-Ko9y,GiMuUDeL-5HIx
xsjYpBPv-AbIK,22,26400,Rent,3,Personal,B,10000,9.88,1,0.3788,N,2,9rn58Rlj-bWj0,db8nE6ny-NNOJ
X58sNYrA-wT4H,22,66000,Rent,6,Education,C,25000,13.06,1,0.3788,Y,3,yhX6s49g-YFzD,0ry7Qgsd-mrqK
v1cUqkYk-kKUd,22,43200,Rent,4,Education,C,3000,13.72,0,0.0694,Y,3,6kTnoCtk-UGBx,FP6ybzuD-jHjL
gm5eXCUS-J7RW,22,50000,Rent,7,Medical,C,4800,12.68,0,0.0960,N,3,QMv8wRwP-Z8yC,RMX6owyO-iFzU
5fTjCPXi-Gsgc,22,60000,Rent,5,Personal,D,10900,15.65,0,0.1817,N,2,qj4cOHU7-HmHU,qYRTl9nv-HDpy
oHGwYLDz-6SbH,22,62400,Rent,6,Venture,A,9000,8.49,0,0.1442,N,3,OGhdsaZk-XLWf,Ohtu4dL2-w6T3
L0ntL46g-hKw9,22,60000,Own,6,Education,B,5900,11.12,0,0.0983,N,2,WkCtNdlS-6dmG,WbL64swQ-oeZv
PnzzZryR-h4oE,22,118812,Mortgage,6,Medical,C,15000,13.35,0,0.1262,N,2,IXsR8NOT-Oaqb,Yyukv9Ws-URrI
OkRZ8PzN-kcRL,22,42000,Mortgage,3,Venture,D,7000,14.84,0,0.1667,N,3,NE8Et6I9-tOjk,Up1qM5OA-cQzZ
ieWiPDtL-pGIj,22,55000,Mortgage,7,Venture,A,3000,5.99,0,0.0545,N,4,LZXcck38-Cgvv,RFJiF4l1-85QH
GQpKJorh-sStd,22,52800,Own,5,Education,D,4800,17.49,0,0.0909,Y,3,GyrCriH4-NApC,OgcLhKD3-DYHe
g0GeTnfv-Fj6U,22,130000,Mortgage,3,Venture,B,24250,12.18,0,0.1865,N,4,a6rtI2Yu-iPI8,jR8ONt7E-uzq3
0th23kW1-HcTO,22,80000,Mortgage,6,Personal,A,5000,7.14,0,0.0625,N,2,udmznEJh-Aurp,88TSMNZd-CXDQ
srsw3TSO-7o1u,22,32004,Mortgage,6,Education,B,10000,10.83,0,0.3125,N,3,iWYTsIG7-W6CY,w6eH9gG8-NKRm
kWvPcCoq-4DRP,22,54566,Mortgage,6,Personal,B,4000,12.53,0,0.0733,N,2,eH0vNrB2-kwF9,7LZ8rB8z-I7By
3GqNiFW6-erwS,22,34800,Rent,6,Venture,C,15000,14.27,1,0.4310,Y,3,NixWvM9f-2ufI,R9PX6Boh-p9Ws
ewS07qfW-Kzix,22,39868,Mortgage,2,Debtconsolidation,D,2400,16.02,1,0.0602,Y,4,JPCJjKt8-aybi,v4mRNjGz-Fqcg
pQJeNzbM-b7d0,22,45000,Mortgage,4,Personal,C,5000,13.48,0,0.1111,Y,4,lgcjEtja-3Oge,Rn050iFQ-s9Uq
7fJ4YCfN-B9J7,22,40000,Mortgage,1,Personal,E,8000,16,0,0.2000,Y,3,6lddJx9I-QlbP,el3pwP7Y-1OqA
0bWSLrM0-Ai6D,22,44000,Mortgage,4,Education,B,10000,12.69,0,0.2273,N,2,5mLridXJ-WKM2,FvXwoc5A-mnJU
w5Qstb9W-vukF,22,24996,Rent,3,Medical,A,10000,8.94,1,0.4001,N,4,bW2yLDXO-Pt0c,QSbp6NGL-zrvj
JvOTazhp-gmKq,22,42000,Rent,1,Medical,B,10000,12.42,0,0.2381,N,4,1tBhFeND-y7n4,weSSzQw6-jSIO
ZFhFDrK1-4QLL,22,83004,Mortgage,6,Education,A,24000,7.88,0,0.2891,N,2,wxqcTWrj-Zz6D,n3nQlIbI-LHlE
zqzQ9m3u-rfUe,22,27500,Rent,1,Venture,B,4250,10.99,0,0.1545,N,2,OhMj9SFL-n7RD,F1LckAdt-IifG
TCL5iUZY-RrfZ,22,40000,Rent,7,Education,B,10000,10.37,0,0.2500,N,2,LUIoQBCg-DdxK,lhTcJGF2-Ud4k
Zarv8e2y-DO1u,22,32968,Rent,2,Debtconsolidation,D,5000,14.61,1,0.1517,N,3,LKdARmBB-WBf7,umAttmfS-94DA
ssTNnXoC-FDkQ,22,18996,Rent,3,Personal,D,3200,15.28,1,0.1685,N,2,TwCBAkKN-WgDL,u5IqzPpM-oGQD
luKCKk3z-TAH0,22,31200,Rent,3,Venture,C,4200,13.57,0,0.1346,Y,2,ZFx6sAcb-Eekb,3MUdLANs-ldnu
TSydCED5-TSWb,22,47748,Mortgage,5,Personal,A,4500,6.39,0,0.0942,N,4,oi2zNyUC-s9ZC,WKzdNA7y-5k5I
SKJSd2Tw-PYoK,22,35000,Mortgage,2,Education,A,6000,7.49,0,0.1714,N,4,UjHicg5O-8SlN,1ZAq6del-9PaZ
AxR4pcE6-lZ3F,22,58170,Rent,1,Education,A,3000,9.07,1,0.0516,N,2,Cxp8QIUp-PcYJ,0Wloe8WD-IQF2
Lp1yRPGQ-Skxx,22,56400,Rent,2,Debtconsolidation,A,9500,8.9,0,0.1684,N,4,JK1jNB7e-BFIZ,78tIZ5dL-2f7A
6egnMase-7ikq,22,38000,Mortgage,5,Debtconsolidation,B,10000,12.21,0,0.2632,N,3,tLJU2axS-REGF,SIFTEhg9-FKg2
ys9PC7yS-WQKq,22,72000,Rent,5,Education,A,6400,6.91,0,0.0889,N,2,OfXhOFRF-yjvz,brkjIkth-zOoy
AM65R9Qk-G8p0,22,45000,Rent,6,Medical,B,10000,9.91,0,0.2222,N,2,K12CCKSC-0154,qXjmfIhl-x43p
PE8KpxxB-oZgh,22,32500,Mortgage,6,Education,A,2500,6.99,0,0.0769,N,2,ifTgu9OS-yUfN,1JtcxLqW-PN1G
yT2bXTxw-cTJ5,22,60000,Rent,3,Personal,B,6500,9.25,0,0.1083,N,2,8Uy5Hfh9-OoJ7,UAJSpHTw-71mR
X1hOll5o-0GQ0,22,22800,Rent,4,Education,C,5000,13.85,0,0.2193,Y,2,nFixUgRm-iuwZ,LQz8M2hU-L0rJ
nmoEPB7z-5fGw,22,60000,Rent,2,Personal,B,3000,11.89,0,0.0500,N,4,s7RvADhv-9840,iEHuKufD-Rfty
KJjHQWzX-pJoC,22,41340,Rent,6,Venture,D,14000,17.49,1,0.3387,N,3,i0uG21wJ-HDhG,9vDNDOAi-hApa
1ePGJuGc-qHda,22,50000,Own,4,Venture,B,16000,9.45,0,0.3200,N,4,jntmeci0-2R0A,uaos8F0a-9Ljg
H7txeNIL-RjEu,22,30000,Mortgage,2,Medical,B,6000,11.99,0,0.2000,N,3,o8lRNkT2-2s17,ExZrJzp8-eSD7
9MKJMylm-14KK,22,91000,Rent,6,Personal,A,8000,6.92,0,0.0879,N,4,SED7Gxex-3ekQ,eAZcmBFa-klPg
RSpnRlw2-JM5f,22,69600,Rent,6,Personal,A,12000,7.29,0,0.1724,N,4,uTAXUO9l-4sqt,kgwd2m2L-uB1A
Kd12T4ED-llqq,22,55000,Rent,2,Education,B,6800,11.99,0,0.1236,N,2,FPCHTuXi-ZJfB,d2TEmRF8-Re1o
jRewdZfA-DzjR,22,94692,Mortgage,5,Education,B,20000,11.49,0,0.2112,N,4,GmGqgRDX-MYEE,xZXgQpnq-D9tr
TgQ9JmGo-tUGr,22,82000,Rent,6,Education,D,12000,13.55,0,0.1463,N,4,sqiFWcGy-8rLU,I4GbEhrm-bDIW
sUjhXo0a-F37t,22,26500,Rent,3,Debtconsolidation,A,1900,7.29,1,0.0717,N,3,770PQir3-loKi,mnmvecRZ-GqZH
GwEupepu-fJpo,22,60000,Mortgage,6,Debtconsolidation,A,5000,5.99,0,0.0833,N,4,Kbf1mjmg-nKWe,TQ37mIM9-nRKT
UWHXhog2-IwnB,22,39996,Rent,3,Venture,A,11000,5.79,0,0.2750,N,2,ixLijM9c-1z4r,BEbXffBQ-garC
Jw0znMOL-e5Au,22,75000,Rent,2,Education,B,10000,11.26,0,0.1333,N,4,EHsqMalv-gNFh,FlObscTp-EoSx
KSrNIg5z-22X1,22,100000,Rent,2,Medical,B,14400,10.74,0,0.1440,N,3,OPJQaULd-Tdz0,SIqrxf6n-fQDH
F5fnk4B7-JEIC,22,37000,Rent,2,Education,B,4000,10.95,0,0.1081,N,2,pYhxk5hS-z9oE,KdAoluAD-BcNZ
nLTLC5XH-SWq0,22,24000,Rent,6,Medical,B,6000,10.65,0,0.2500,N,4,HPyMGtSl-knPo,wfhaKEj3-QrgU
5MY1yr1j-F8Gc,22,43000,Mortgage,2,Debtconsolidation,C,8500,12.09,0,0.1977,Y,4,BwWKcNaJ-jjF2,Wq3x8u5k-Lsti
5ZdGXclE-HW83,22,30000,Rent,3,Medical,C,3500,13.92,0,0.1167,N,4,AYosIvZ4-Hoy8,wUd6upoc-3CqQ
4l81jAyr-eBrZ,22,64000,Mortgage,3,Debtconsolidation,B,14400,11.71,1,0.2250,N,2,Wj3zxfmN-1tJg,LJN9Zhqx-Z2z0
CWCBWDnF-RheC,22,40000,Mortgage,6,Debtconsolidation,C,5000,12.99,0,0.1250,Y,2,wwKt2G2J-jdIw,j4chSmZk-2j9N
